id,product,step,opinion,thoughts,thread,pos_count,neg_count,neu_count
djv0ax0,innisfree super volcanic clay mask,clay mask,best,"thoughts i use a clay mask at least once a week, i find it really helps with mattifying my skin. this is one of the best clay masks that i've found. it's affordable, applies easily and does mattify. the negative side is that it's messy to wash off, and i prefer tubes to pots. though they do do a bottle version which i've yet to try.",oily,8,2,0
djv702q,belif aqua bomb,moisturizer,best,"i love this stuff. it's a gel cream that sinks into my skin amazingly. my skin hates most moistuizers, and i hate the feeling of a thick cream, but this one feels just like water. it keeps my skin hydrated, has a cooling effect, and a refreshing scent that i would describe as slightly minty. mine came in a jar but if i remember correctly they're switching to tube packaging, which is a plus for a lot of people.",oily,4,1,0
djv01bn,blotting papers,tools,best,"thoughts not really a product as such, but i seriously recommend keeping a pack of these on hand at all times. super efficient at keeping the worst of the oiliness away.
",oily,7,0,0
djv4eeq,missha super aqua ultra water-full clear cream,moisturizer,best,"thoughts using this gel-type moisturizer at night daily has really helped control excess oil on my face and reduced my breakouts. the next morning my skin seems smoother and a lot for matte. after applying it your face may look excessively shiny/sticky, but for me, my skin soon absorbed it pretty well so it wasn't a problem. i like to use this after using a thicker emulsion/moisturizer(so this gel is the very last step) to add an extra layer of hydration to my face.",oily,3,0,0
djuzzcn,innisfree no sebum powder - loose,make up,best,"thoughts love this affordable powder! i dust it on my face with the puff, quite generously, and it helps my skin look matte during the day! i usually have to top up every 5-6 hours in summer but less in winter. it does leave a slight white cast if you're too heavy handed with it, so be wary of that.",oily,8,2,5
djv05rw,elizavecca 24k gold water drop cream mask,moisturiser,best,"thoughts this is a lightweight gel from elizavecca which comes in a hefty tube. it smells citrusy and has a cool water drop effect when you apply it. by which i mean it comes out as a cream, but quickly rubs in and looks like you've splashed yourself with water before it absorbs. which it does quickly. i recommend this to oily skinned people as it's super lightweight, but still hydrating.",oily,1,0,0
djvlvej,pyungkang yul mist toner,hydrating toner,best,"thoughts: this product is how i'm surviving summer. i turn into a real grouch in the heat because it makes me feel so uncomfortable. i have naturally very oily skin and quite a mane of dark hair, which i feel like just absorbs all the heat. this mist comes with me every day and has become part of my midday post-work ritual of blotting paper and misting. it dries down to nothing and feels so refreshing, it's like a temperature reset on my face. also, its got like 5 ingredients total, coptis japonica root extract being the absolute star. it comes in this beautiful blue bottle as well. happy happy happy that this is in my life. ",oily,3,1,0
djvedyg,cosrx aloe vera oil-free moisture cream,moisturizer,best,"thoughts: i've been using this cream, which is really a gel, for over two years now. it's the only thing that i've found to be hydrating and not overly shiny (especially under makeup). it has a bit of a cooling effect so it's perfect for summer. you know how sometimes applying moisturizer in humid weather can cause you to sweat under your nose right after? that doesn't happen with this moisturizer. the ingredients are also gentle and don't clog my pores. sometimes in the winter i'll mix a drop of oil to make it more hydrating.",oily,2,0,0
djvpgxn,zymogen houttyunia cordata serum and lotion,toner and moisturiser,best,"i've pretty much used at least 4 sets of these in the last 1+years and they are irreplaceable. they help control oil production, brighten (licorice root) and hydrate without clogging my skin. in fact, i think they have corrected the oil balance of my cheeks from oily to normal.",oily,1,0,0
djv8nyi,neogen black volume cream,sleeping pack/moisturizer,best,"i had purchased this in a shady skinfood brick and mortar store due to the fact that the packaging said that the ingredients were listed inside the box and that at the time, i could find absolutely no information about it. i figured that if i saw one of my skin triggers that i would just return it the same day. when i finally looked at the ingredient list, it was, pretty crazy. crazy long with over 120 ingredients. at the time, my routine could've used a lot of help to begin with so adding it in didn't do much. fast-foward to today, where my routine actually makes a degree of sense, i use it as my pm sleeping pack and i wake up with very glowy skin with my dehydration lines nowhere to be found.",oily,1,0,0
djvkyzy,the history of whoo wrinkle essentual cream,special needs/cream/eye cream,worst,"thoughts i got this to deal with small wrinkles around my eyes and my nasolabial folds; it's supposed to be used at last stages of skincare as both wrinkle filler and anti-age product. it comes with a few patches that can be used to seal in the product; for me it worked even without patches, i can't complain about the effectiveness. my issue with it is that it's so heavy and occlusive i started developing milia and whiteheads under my skin in the areas where i was applying it; i hated that because i saw results almost immediately. i tried using it every other day, then only a couple times a week, but finally i had to give it up. it's probably perfect for dry/normal skin, but it's not suitable for oily skin, however effective it is.  ",oily,1,0,0
djvkgfh,shiseido pureness deep cleansing foam  ,cleanser  ,worst  ,"this foam cleanser stripped every bit of moisture from my oily face to the point that it was physically painful. i didn't notice any effect on oil control because i would have to super-rehydrate my skin every time i used this cleanser. also, the blue ""purifying granules"" are large and hard enough to be irritating but too sparsely dispersed in the foam to do any good for physical exfoliation. ",oily,1,0,0
djwf33s,country & stream honey uv water gel spf50+ pa++++,sunscreen,best,"thoughts: i am not saying this is the best sunscreen out there for oily skin, but it is great if you're looking for an alcohol-free one. when i first got this, i was worried it would be too hydrating, shiny, etc. but i wanted to try an alcohol-free alternative to the biore uv aqua essence since my skin tends to be dehydrated as well. i love this. it's hydrating, yes, but it sinks in fast and it doesn't make me oilier. it has a satin finish and wears really well under makeup. it has a light scent that reminds me of honey cough drops. it's a little harder to get outside of japan but try it if you can get your hands on it. i prefer this over the canmake mermaid gel.",oily,2,0,0
dk8cjho,hada labo perfect gel,"
moisturiser (or sleeping pack)","
best ","
skin type dry, flaky, very sensitive, rosacea, seb derm",dry,6,0,0
dk8mlx7,product name: stratia liquid gold,step: moisturiser/last step occlusive ,best,"thoughts: found & bought a sample online and have been testing it out for a couple of weeks. i've only actually used it to spot treat some super dry patches under my eyes and along my nostrils, which gets really dry when i'm blowing my nose a lot! love it. dry patches are gone, and i know that if i hadn't used these it would take a *long* time for them to go away using my usual products (which are already pretty moisturising imo). eventually i hope to test this out all over my face, but i'm being so stingy with my 5ml sample atm so we'll have to see!",dry,5,0,0
dk8a8it,rosehip oil,moisturizer,best for immediate relief from stretches of hella dry skin and general use moisturizer ,"thoughts: for the last six months i've been battling these dry flaky patches of skin around my mouth and the only thing that gave me acute relief was pm application of rosehip oil. my patches are finally gone (bless) thanks to an unrelated change in routine, but rosehip oil was the only thing to relieve my sad flaky patches. now, aside from using it to treat immediate concerns, it's a great moisturizer in general for my dry skin. i like mixing it in a cream moisturizer or just straight up applying to my face before bed, and i often wake up with plump (not thirsting for anything) happy skin. it's definitely become a staple in my stockpile. ",dry,3,1,0
dk870gv,pyukang yul essence toner,toner,"best for my dear friend who has problematic dry, damaged skin","she does an abbreviated or full 7 skin with this basically day and night. she says it's highly plumping and makes her skin feel and look elastic and a bit ""swollen"" which is definitely in line with the chok chok goals many ab users have.",dry,3,0,1
dk9cye8,product: mizon black snail aio,moisturizer,best,"thoughts: i love this moisturizer! it's rich and feels great putting on, but isn't greasy or anything. it absorbs right away. i haven't tried the normal mizon snail aio so i can't i can't compare, but i've read that the normal snail is more of a whipped texture and this one is a bit heavier. i liked the ingredient list better on the black snail (niacinimide) which is why i tried this one first.     ",dry,1,1,0
dk8c0g5,product name: koh gen do oriental plants soap ,step: cleanser,best,"thoughts: this is truly a hidden gem. i have not seen anyone here talk about or recommend this soap but it's truly a gem. this soap has never dried me out even on the worst of worst dry days. it is gentle and the scent is just beautiful. if you find a lot of hanbang products too hanbangy try this one out! it's a little pricey-i think nordstrom sells it for $55.00, but i've used it daily at night for two months and i'm slightly more than halfway through it. ",dry,1,0,0
dk8c85m,product name: sulwhasoo snowise ex cleansing foam. ,step: cleanser ,best,"thoughts: lightly foaming soap that is soothing, non-drying, smells like you are a forest of pine trees and just beautiful. does not dry me out and my face feels clean afterwards. i keep this one in the shower and use it whenever i have to wash off retinol and obagi. it's just great. i have 1 heir and 2 spare tubes.  ",dry,1,0,0
dk8vqob, lost and found seoul med.secret cream + ceramide,"
moisturizer","
best","
i have some of the driest skin i've ever heard of on a young person, and this has been such a treat for my skin. it keeps me flake-free and smooth all day, doesn't pill or separate under makeup, and is not greasy feeling in the swampy korean summer. my skin is much less reactive and looks better even when i'm not actually wearing this cream (like immediately after washing). it's not even expensive, though it is comparitively hard to find (being a smaller brand -- but you can get it at watsons). i <3 it so much.",dry,1,0,1
dk8mrvd,botanic farm grain ferment cleansing sherbet ,1st step cleanser ,best,this stuff is my hg of cleaning balms. once you scoop the amount out with the provided spatula it melts on your face taking all your makeup with it. it's really good about getting mascara off too. i have very dry acne prone skin. this helps keep moisture in especially since i double cleanse with murad time release acne cleanser (which surprising doesn't dry me out). ,dry,2,0,0
dk80ops,shiseido ibuki beauty sleeping mask,moisturiser,worst,thoughts: i got a small sample from sephora tried it once and then gave it to my mother. i really should have checked the ingredients list before asking for a sample. i just didn't expect it to contain alcohol and fragrance! the smell pretty much gave me a headache immediately and i still woke up with dry cheeks.,dry,2,1,0
dk8bs0a,product name: shisheido perfect cleansing oil ,step: cleanser,worst ,thoughts: this dried me out as well and left a film that made my face never really feel clean. it also felt very heavy on my face. ,dry,3,0,0
dk837ry,shiseido bio-performance advanced super revitalizing cream,moisturizer,best for me,"skin type dry and thin.  mild rosacea, prone to eczema, sensitive",dry,1,1,0
dk9i3gu,product whamisa organic flowers toner,toner ,worst,thoughts i purchased this because i've read and seen blog posts saying how wonderful it is. i have been using koh gen do lotion i as a hydrating toner for a couple of months now and wanted to see if there was an alternative. well. this is definitely not it. i put it on and had such a severe reaction to it: it burned. as in burned. my face got red and i got a rash. i was stunned with the reaction honestly. there was nothing positive about it-not even the scent. the koh gen do lotion i is my staple. i actually took off the little stopper and up ended the entire bottle down the sink. there's no way i'm passing this one on.  i'm very unfamiliar with hydrating toners but my first foray outside of the one i have been using wasn't very positive. ,dry,2,0,0
dk8maj3,innisfree rice sleeping pack capsule ,moisturizer,best,"i love this sleeping pack because i have dry, acne-prone skin and use tretinoin. i often find myself with flaky patches. it has little to no scent. my skin is pretty sensitive and i had no reaction to it. i think the consistency is my favorite part, it feels moisturizing without feeling heavy. i plan on purchasing more as i received one from a friend. one capsule goes a long way!",dry,1,0,0
dkirecs,i'm from ginseng wash off mask,wash-off detox mask,best,"i like this a lot. as directed, i used this on a wet face after cleansing, and washed off after 20-25 min. this is meant to be a detoxing mask, but it is also moisturizing, and it remains the best method i have found for me to use bha and aha without dryness or irritation/tingling. my skin responds favourably to acids and it decreases my breakouts a lot, but since my skin tends to be dry, usually even 5 minutes of waiting is a chore. when i use this mask before i start acids, i can do wait times without a problem. the next couple of days i sheet mask more if needed, since detox mask+acids = quite a bit of exfoliation. ",dry,1,0,0
dk8bnmi,product name: sk-ii facial treatment soap,step: cleanser ,worst,thoughts:  nowhere near as good as the essence and the toner. it dried me out. i initially thought that it was because i was double cleansing twice daily (when i started ab). i put it aside and then went back to it after my skin improved and i eliminated double cleansing x daily. it still dried me out. i used the remainder as a body wash. ,dry,1,0,0
dlt6v7f,innisfree bija anti-trouble cleansing gel,cleanser,best,"thoughts it's a very gentle cleanser but it's good enough to keep my t-zone under control while not irritating my cheeks. it almost feels like it's doing nothing, but not using it is definitely noticeable for me. ",combination,2,1,0
dlt7ebc,holika holika 99% aloe gel,gel moisturizer,best,"thoughts i like this aloe gel as much as the nature republic one, but it comes in a much more sanitary container and also doesn't contain any alcohol. it also doesn't dry up as much as the nr one and contains centella. i really like diluting things into it like tea tree oil, tretinoin, scinic aios etc. ",combination,3,0,0
dlswn2m,su:m37 miracle rose stick cleanser,cleanser,best,"thoughts this cleanser in stick format is a favourite of mine, and is actually probably suited to most skin types. it's got a low ph, foams really nicely and smells of roses. it's also in a stick format which makes it really easy to travel with.",combination,4,2,0
dlswt9s,innisfree super volcanic clay mask,clay mask,best,"thoughts 
copy paste from the oily skin thread. but for combo skin people this is really great to use on the t-zone! i clay mask on my t-zone and use a hydrating wash off mask like make p:rem on my cheeks. for great double masking action.",combination,2,0,0
dlt71q4,banila co miss flower and mr. honey cream,occlusive,best,"thoughts i've actually only used a sample of this stuff but i'm definitely going to purchase it for the fall/winter. when i first used it it broke me out because i put it on straight, dry skin. to use it properly for combo skin ime it's important to have a watery layer on underneath that's not fully dry that you can kind of mix it into (sheet mask essence, mist, hydrating toner, gel, etc.). it dries down into a mattified layer that works great as a sleeping pack or as a heavy moisturizer during the day, without looking too greasy. ",combination,3,1,0
dlswkk5,elizavecca 24k gold waterdrop & 2hsam cream mask,moisturiser,best,"thoughts this is a super lightweight moisturiser which i use when my skin doesn't need heavy hydration. it's got a ""waterdrop"" effect, by which i mean when i rub the cream on it looks like it's turning into waterdrops. i only use a half a walnut size for my entire face, it's very spreadable. it also smells of lemonade.",combination,1,0,0
dluk1za,mizon snail recovery gel cream,moisturizer,best,"thoughts it's lightweight, but it packs a lot of hydration. it also covers up any dry spots and doesn't make my skin any oilier. it doesn't leave a film and dries instantly. it's also a great mixing medium. i mix this with my pm moisturizers and other serums that i feel are way too oily.  ",combination,1,0,0
dlvkm71," huxley oil essence essence-like, oil-like",essence,best,thoughts,combination,1,1,0
dlzz95c,benton snail bee high content steam cream,cream,best,"thoughts literally, this is my hg cream to seal in all my hydration layers. it's thick enough to occlude everything, but not overtly so thick that my skin feels congested. in fact, this was my first product that gave me that chok-chok feeling. my only (but biggest) pet peeve about it is the preservation system. i know that benton messed up pretty bad in the past but people still love the products because dammit, it works. however, because my skin tends to get more stressed during the summer, i really need this cream to come through. but the heat will destroy it for sure (when it ships over), so i've been trying to find a product that gives me that hydration plump skin feeling. i found it in a sample of skinfood's [aqua grape bounce cream] (http://imgs.inkfrog.com/pix/geoplee/7502_aqua_grape_bounce_cream.jpg) but it's not available for shipping to the states and the price...i saw it going for 30,000 won in korea last month!",combination,1,0,0
dl4g1ts,cosrx master pimple patch,spot treatment,best,thoughts if you have a whitehead which you've lanced the patch will help to seal the wound which helps it heal quicker. i usually use a blemish cream the next night after using this. it's seriously effective at helping to flatten spots  ,acne,5,1,0
dl4smbh,benton snail bee essence,essence,best,"this is amazing for calming active acne, reducing redness and inflammation, and is slightly hydrating. i can't rave enough about it. it's healed so much of my scarring/pih. love love love it!",acne,5,1,0
dl4fpug,ljh tea tree essence,essence,best ,thoughts. this is a lightweight hydrating essence which sinks quickly into my skin. i love this bottle for helping me with redness and calming down erupting acne. i noticed more acne when i stopped using it. it's one of those products you don't realise the value of until you stop using. it's a bit pricey though so i always wait for sales. ,acne,5,0,1
dl4lm63,stratia velvet cleansing milk,second cleanser,best,thoughts,acne,1,0,0
dl4mqbi,cosrx centella blemish cream,cream,best,this product has helped me so much with redness and calming aggravated active acne.  ,acne,1,0,1
dl56j0g,cosrx bha returning a-sol,essence step,best,"thoughts i've only been using it for two weeks and my acne has been starting to clear up. i like that it also has some aha in it, which really helps in keeping my skin glowy. it seems to have also helped in regulating my sebum although not to an exemplary extent since i have an extremely oily skin. 
my skin was clearing up prior to this but when i used klairs' toner, i started having so many random ccs and new acnes started showing up for some reason and my previous routine didn't really work so i gave this product a shot. ",acne,3,0,1
dl56o6v,scinic snail aio ampoule,ampoule,best,"i cannot stop raving about this product. it's such a steal for the price- i got it for $13 on amazon. i actually ordered the honey version, but there was a mix-up and i got this one. i tried it anyways and fell so in love with it i didn't even bother contacting amazon. anyways-",acne,1,0,0
dl4fm93,innisfree super volcanic clay mask,clay mask,best,"thoughts i recommended this for oily skin and would do so for acne prone skin too! it's great after applying some bha to really get clogs out.  i use a clay mask at least once a week, i find it really helps with mattifying my skin. this is one of the best clay masks that i've found. it's affordable, applies easily and does mattify. the negative side is that it's messy to wash off, and i prefer tubes to pots. though they do do a bottle version which i've yet to try.",acne,5,0,0
dl4ft4h,mizon 8% aha,chemical exfoliant,best,"thoughts. this is more gentle than some western ahas which suits me perfectly, but still powerful enough to make a difference. i use this once or twice a week to help with the ccs i can suffer with. particularly around shark week. i find this helps reduce their appearance and keep more at bay. ",acne,3,0,3
dl58nqw,cosrx 96 snail mucin essence,essence,best  ,"this is old news to most folks here but its sooo good for acne,  i love love it. am new to ab and have been using it now for just 2 weeks - but results are downright amazing. im thankful and a little sad i didnt find it 8 months ago when a cystic acne spree started & destroyed my face  :(",acne,1,0,1
dl53cf7,cosrx acne one step pimple clear pads,chemical exfoliant,best!!,"thoughts: i love this product- when i break out, i just wipe my face with the pad before i sleep and the next morning my pimples are either almost completely gone or less red/swollen. it doesn't cause any discomfort or make my skin itchy, so it's a gentle but effective exfoliant. i've heard you can even use it on your armpits(?) too since it's an exfoliant. leaves my face a little bit sticky but it's so worth it! i've already finished my first batch and bought a second!",acne,3,0,0
dl80usl,aztec healing clay mask,mask,best,"if i have a skin freak out, i love to do this mask. i do it right after my step 2 cleanser. i use raw acv to mix. after the mask, it's nice to follow up with a sheet mask... green tea or aloe or something soothing/moisturizing. the next morning, i can notice a total difference - reduces the redness of my breakouts.",acne,1,1,0
dl4o1c9,it's skin power 10 formula vb effector with vitamin b6,serum,best,"thoughts: i highly recommend this for those with oily skin types. i apply this after toning, and i love that it's non-sticky and lightweight. plus, this has  vitamin b6 which is known to treat various skin conditions such as acne & allergies; restores skinâ€™s natural moisture balance, and hydrates. this serum also controls excess oil production that causes pimples. my monthly hormonal breakouts lessen to only one acne per month when i started using this. ",acne,3,0,0
dl9doxx,cosrx good morning low ph gel cleanser,second cleanser,best,"this cleanser changed my skin so so much that if i were to replace it, my face would get dull and rough after a few days. i think the combination of tea tree and betaine salicylate helps reduce my redness and prevents new pimples from forming. i love this cleanser and i don't want to be without it ever.
",acne,1,0,0
dl5zi0c,mizon snail recovery gel cream,spot treatment step,best,i had a few clogs on my forehead that weren't going away despite  retin-a gel & br p50 lotion usage so i spot treated them with stridex pads in the red box for a while however they became inflamed & showed no sign of going away. spot treatments like aczone & bp yielded no improvement. i was about to give up and resign to having red dots all over my forehead when i decided to try mizon snail gel cream as a spot treatment (i normally use it on cuts & bug bites). two of the clogs went away and the other three were easily extracted. this worked wonders to take down the inflammation. ,acne,2,0,0
dl4fyfm,"mizon acence blemish x cream (i think, not at home so can't check the tube!)",spot cream,best,thoughts. this is great at helping my blemishes go down and lessens the appearance of redness. very affordable as well so i don't mind using this on every spot and giving myself a polka dot appearance. ,acne,2,0,0
dlguq74,mandelic acid- dr. wu's 18% aha skin renewal serum,actives,best,"or really any mandelic acid product, but dr. was contains the highest percentages i've found in a serum and is ab (sans alcohol). its so gentle on my skin, doesn't have the burning sensations of a lot of other acids, just a very slightly tingle for me and it leaves my skin super soft in the morning.",acne,1,0,0
